acteurs,date,descriptions,duree,episode,genre,langue,nb_saison,pays,public,score,titre,titre_original,url
"Glen A. Larson,Ronald D. Moore,Edward James Olmos,Mary McDonnell,Jamie Bamber",2004–2009,"When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fabled 13th colony, Earth.",44,74,"Action,Adventure,Drama",,4 seasons,United States,TV-14,9,Battlestar Galactica,,
"David Shore,Hugh Laurie,Omar Epps,Robert Sean Leonard",2004–2012,An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.,44,176,"Drama,Mystery",,8 seasons,United States,TV-14,9,House,House M.D.,
"Phoebe Waller-Bridge,Phoebe Waller-Bridge,Sian Clifford,Olivia Colman",2016–2019,A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.,27,12,"Comedy,Drama",,2 seasons,United Kingdom,TV-MA,9,Fleabag,,
"Makoto Furukawa,Kaito Ishikawa,Max Mittelman",2015–2019,"The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch.",24,25,"Animation,Action,Comedy",,2 seasons,Japan,TV-PG,9,One Punch Man,One Punch Man: Wanpanman,
"James L. Brooks,Matt Groening,Sam Simon,Dan Castellaneta,Nancy Cartwright,Harry Shearer",1989– ,The satiric adventures of a working-class family in the misfit city of Springfield.,22,739,"Animation,Comedy",,34 seasons,United States,TV-14,9,The Simpsons,,
"Eric Kripke,Karl Urban,Jack Quaid,Antony Starr",2019– ,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,60,25,"Action,Comedy,Crime",,4 seasons,United States,TV-MA,9,The Boys,,
"Mamoru Miyano,Asami Imai,Kana Hanazawa",2011–2015,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.",24,26,"Animation,Comedy,Drama",,1 Season,Japan,TV-14,9,Steins;Gate,,
"Shawn Ryan,Michael Chiklis,Jay Karnes,Michael Jace",2002–2008,Drama series following the lives and cases of dirty cop Vic Mackey and the LAPD unit under his command.,47,89,"Crime,Drama,Thriller",,7 seasons,United States,TV-MA,9,The Shield,,
"Mitchell Hurwitz,Jason Bateman,Michael Cera,Portia de Rossi",2003–2019,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.",22,84,Comedy,,5 seasons,United States,TV-14,9,Arrested Development,,
"Jon Favreau,Pedro Pascal,Carl Weathers,Giancarlo Esposito",2019– ,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.",40,24,"Action,Adventure,Fantasy",,3 seasons,United States,TV-14,9,The Mandalorian,,
"Baran bo Odar,Jantje Friese,Louis Hofmann,Karoline Eichhorn,Lisa Vicari",2017–2020,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families.",60,26,"Crime,Drama,Mystery",,3 seasons,"Germany,United States",TV-MA,9,Dark,,
"Tom Fontana,Ernie Hudson,J.K. Simmons,Lee Tergesen",1997–2003,A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants.,55,56,"Crime,Drama,Thriller",,6 seasons,United States,TV-MA,9,Oz,,
"Brendan Hunt,Joe Kelly,Bill Lawrence,Jason Sudeikis,Brett Goldstein,Brendan Hunt",2020– ,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League football team.",30,34,"Comedy,Drama,Sport",,2 seasons,United States,TV-MA,9,Ted Lasso,,
"Steven Knight,Cillian Murphy,Paul Anderson,Sophie Rundle",2013–2022,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.",60,36,"Crime,Drama",,6 seasons,United Kingdom,TV-MA,9,Peaky Blinders,,
"Alan Ball,Peter Krause,Michael C. Hall,Frances Conroy",2001–2005,A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.,60,63,"Comedy,Drama",,5 seasons,United States,TV-MA,9,Six Feet Under,,
"Saurabh Khanna,Mayur More,Jitendra Kumar,Ranjan Raj",2019–2021,"Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day IIT-JEE aspirants face in their day-to-day lives.",45,10,"Comedy,Drama",,2 seasons,India,TV-14,9,Kota Factory,,
"Katie Krentz,Patrick McHale,Elijah Wood,Collin Dean,Melanie Lynskey",2014,Two brothers find themselves lost in a mysterious land and try to find their way home.,22,10,"Animation,Short,Adventure",,1 Season,United States,TV-PG,9,Over the Garden Wall,,
"Trey Parker,Matt Stone,Brian Graden,Trey Parker,Matt Stone,Isaac Hayes",1997– ,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",22,320,"Animation,Comedy",,25 seasons,United States,TV-14,9,South Park,,
"Eiichirô Oda,Mayumi Tanaka,Laurent Vernin,Tony Beck",1999– ,"Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".",24,1050,"Animation,Action,Adventure",,24 years,Japan,TV-14,9,One Piece,One Piece: Wan pîsu,
